Country name,Total in km2,Land in km2,Inland water in km2,% water,Population,% of world population,Population density,HDI,Fertility rate,Mortality rate,% of internet users in population,External debt (billions)
Russia,17098246.0,16376870,721380,4.2,146028325,1.8,8.54,0.832,1.47,13.27,95.6,299.0637
Canada,9984670.0,9093507,891163,8.9,41417056,0.5,4.15,0.939,1.33,8.17,94.4,"3,468.2119"
China,9596960.0,9326410,270550,2.8,1404890000,17.0,146.39,0.797,1.03,7.82,91.6,"2,412.0799"
United States,9525067.0,9147593,377424,4.0,341784857,4.1,35.88,0.938,1.63,8.42,94.7,"30,196.961"
Brazil,8510346.0,8460415,55352,0.6,214211951,2.6,25.17,0.786,1.59,6.90,84.5,692.6895
Australia,7741220.0,7682300,58920,0.8,27801023,0.3,3.59,0.958,1.64,6.76,96.1,"2,050"
India,3287263.0,2973190,314070,9.6,1429404000,17.3,434.83,0.685,1.93,9.65,70,762.7656
Argentina,2780400.0,2736690,43710,1.6,46466688,0.6,16.71,0.865,1.51,7.28,89.7,321.7828
Kazakhstan,2724910.0,2699700,25202,0.9,20604819,0.2,7.56,0.837,2.92,8.05,93.4,182.7782
Algeria,2381741.0,2381741,0,0,47400000,0.6,19.9,0.763,2.62,4.33,77.4,4.760
Democratic Republic of the Congo,2344858.0,2267048,77810,3.3,116452162,1.4,49.66,0.522,,,,5.330
Saudi Arabia,2149690.0,2149690,0,0,35300280,0.4,16.42,0.900,2.27,3.45,100,264
Mexico,1964375.0,1943950,20425,1.0,131231919,1.6,66.81,0.789,1.85,7.07,83.1,880
Indonesia,1904569.0,1811569,93000,4.9,288315089,3.5,151.38,0.728,2.08,6.77,72.8,444.4005
Sudan,1878000.0,1868000,10010,0.6,53282719,0.6,28.37,0.511,4.13,6.19,18.6,62.4
Libya,1759540.0,1759540,0,0,7539852,0.09,4.29,0.721,2.21,3.45,82,3.530
Iran,1648195.0,1622500,25695,1.6,87134000,1.1,52.87,0.799,1.66,5.20,85.3,4.8616
Mongolia,1564116.0,1557507,6609,0.4,3591120,0.04,2.3,0.747,2.54,6.33,85.1,40.2175
Peru,1285216.0,1279996,5220,0.4,34157732,0.4,26.58,0.794,1.93,11.04,82,112.4321
Chad,1284000.0,1259200,24800,1.9,20031602,0.2,15.6,0.416,5.84,9.21,12.6,1.880
Niger,1267000.0,1266700,300,0,27522750,0.3,21.72,0.419,5.64,9.66,39.5,2.730
Angola,1246700.0,1246700,0,0,38778554,0.5,31.1,0.616,4.89,7.80,40.7,37.7
Mali,1240192.0,1220190,20000,1.6,23929000,0.3,19.29,0.419,5.33,8.30,36.8,3.630
South Africa,1219090.0,1214470,4620,0.4,63522380,0.8,52.11,0.741,2.17,9.25,78.4,195.932
Colombia,1138910.0,1038700,100210,8.8,53399171,0.6,46.89,0.788,1.61,7.84,79.3,212
Ethiopia,1104300.0,1096570,7730,0.7,111652998,1.4,101.11,0.497,3.72,5.60,21.4,25.4
Bolivia,1098581.0,1083300,15280,1.4,11365333,0.1,10.35,0.733,2.47,4.33,79.7,16.0163
Mauritania,1030700.0,1030700,0,0,4927532,0.06,4.78,0.563,4.49,7.33,45.8,3.590
Egypt,1001450.0,995450,6000,0.6,108613296,1.3,108.46,0.754,2.68,4.32,74.6,164.776
Tanzania,947303.0,885800,61500,6.5,70038850,0.8,73.94,0.555,4.41,5.02,31.2,15.9
Nigeria,923768.0,910770,13000,1.4,223800000,2.7,242.27,0.560,4.21,8.52,41.2,51.9
Venezuela,912050.0,882050,30000,3.3,28633711,0.3,31.39,0.709,2.04,6.55,76.7,110
Pakistan,882363.0,857143,25220,2.9,241499431,2.9,273.7,0.544,3.44,5.94,57.3,137.5578
Namibia,824292.0,823290,1002,0.1,3022401,0.04,3.67,0.665,3.13,6.64,64.9,6.520
Mozambique,799380.0,786380,13000,1.6,34958973,0.4,43.73,0.493,4.54,9.93,20.5,9.7212
Turkey,783562.0,769632,13930,1.8,86092168,1.0,109.87,0.853,1.62,6.09,89.8,565
